ProbID	Question	QuestionType	Answer	Method
1	If you used a smartphone while riding a bicycle, what did you do with it?	General	Looked up information on the Internet or for driving directions;Use a smartphone to send text messages;Use a smartphone to read text messages;Use a smartphone to respond a call;Use a smartphone for music control	General
1	In what environment did you use your smartphone while riding your bicycle?	General	Side road;Dirt road;Red traffic light	General
1	How did you use a smartphone while riding your bicycle?	General	One-handed;Voice assistent;Headphone remote control	General
1	How safe did you feel while operating the device?	Likert	5	Buttons (Remote)
1	How comfortable did you feel?	Likert	3	Buttons (Remote)
1	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
1	I could reach the targets precisely with the input method.	Likert	5	Buttons (Remote)
1	I could focus on cycling while using the input method.	Likert	5	Buttons (Remote)
1	The input felt physically effortless.	Likert	4	Buttons (Remote)
1	The remote control did not interfere with my grip or steering.	Likert	4	Buttons (Remote)
1	I enjoyed using this remote control.	Likert	4	Buttons (Remote)
1	How safe did you feel while operating the device?	Likert	5	Analog Stick (Remote)
1	How comfortable did you feel?	Likert	5	Analog Stick (Remote)
1	I found it easy to understand how to use the input method.	Likert	5	Analog Stick (Remote)
1	I could reach the targets precisely with the input method.	Likert	5	Analog Stick (Remote)
1	I could focus on cycling while using the input method.	Likert	5	Analog Stick (Remote)
1	The input felt physically effortless.	Likert	4	Analog Stick (Remote)
1	The remote control did not interfere with my grip or steering.	Likert	5	Analog Stick (Remote)
1	I enjoyed using this remote control.	Likert	5	Analog Stick (Remote)
1	How safe did you feel while operating the device?	Likert	3	Direct Touch (Tablet)
1	How comfortable did you feel?	Likert	3	Direct Touch (Tablet)
1	I could focus on cycling while using the input method.	Likert	4	Direct Touch (Tablet)
1	The input felt physically effortless.	Likert	4	Direct Touch (Tablet)
1	I found it easy to understand how to use the input method.	Likert	5	Direct Touch (Tablet)
1	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	1	Direct Touch (Tablet)
1	I could reach the targets precisely with the input method.	Likert	5	Direct Touch (Tablet)
1	How safe did you feel while operating the device?	Likert	5	Indirect Touch (Remote)
1	How comfortable did you feel?	Likert	5	Indirect Touch (Remote)
1	I found it easy to understand how to use the input method.	Likert	5	Indirect Touch (Remote)
1	I could reach the targets precisely with the input method.	Likert	3	Indirect Touch (Remote)
1	I could focus on cycling while using the input method.	Likert	4	Indirect Touch (Remote)
1	The input felt physically effortless.	Likert	5	Indirect Touch (Remote)
1	The remote control did not interfere with my grip or steering.	Likert	5	Indirect Touch (Remote)
1	I enjoyed using this remote control.	Likert	5	Indirect Touch (Remote)
1	Which input method did you find the best overall?	Overall	Analog Stick (Remote)	Overall
1	Which input method did you find the easiest to use?	Overall	Analog Stick (Remote)	Overall
1	Which input method did you feel the safest using?	Overall	Buttons (Remote)	Overall
1	Which input method allowed you to select the targets most accurately?	Overall	Buttons (Remote)	Overall
1	Which input method allowed you to access the targets the quickest?	Overall	Direct Touch (Tablet)	Overall
1	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Analog Stick (Remote)	Overall
1	Do you have any suggestions for improving the input methods?	Overall	More stable installation, smaller design and therefore easier and safer to reach.	Overall
2	How old are you?	General	32	General
2	What is your gender?	General	Female	General
2	How often do you ride a bicycle?	General	Never	General
2	Which types of bicycles have you ridden so far?	General	None	General
2	How often do you use a smartphone while riding a bicycle?	General	1	General
2	If you used a smartphone while riding a bicycle, what did you do with it?	General	None	General
2	In what environment did you use your smartphone while riding your bicycle?	General	/	General
2	How did you use a smartphone while riding your bicycle?	General	/	General
2	How safe did you feel while operating the device?	Likert	4	Analog Stick (Remote)
2	How comfortable did you feel?	Likert	4	Analog Stick (Remote)
2	I found it easy to understand how to use the input method.	Likert	5	Analog Stick (Remote)
2	I could reach the targets precisely with the input method.	Likert	4	Analog Stick (Remote)
2	I could focus on cycling while using the input method.	Likert	4	Analog Stick (Remote)
2	The input felt physically effortless.	Likert	5	Analog Stick (Remote)
2	The remote control did not interfere with my grip or steering.	Likert	1	Analog Stick (Remote)
2	I enjoyed using this remote control.	Likert	4	Analog Stick (Remote)
2	How safe did you feel while operating the device?	Likert	1	Indirect Touch (Remote)
2	How comfortable did you feel?	Likert	1	Indirect Touch (Remote)
2	I found it easy to understand how to use the input method.	Likert	5	Indirect Touch (Remote)
2	I could reach the targets precisely with the input method.	Likert	3	Indirect Touch (Remote)
2	I could focus on cycling while using the input method.	Likert	2	Indirect Touch (Remote)
2	The input felt physically effortless.	Likert	2	Indirect Touch (Remote)
2	The remote control did not interfere with my grip or steering.	Likert	2	Indirect Touch (Remote)
2	I enjoyed using this remote control.	Likert	1	Indirect Touch (Remote)
2	How safe did you feel while operating the device?	Likert	5	Buttons (Remote)
2	How comfortable did you feel?	Likert	4	Buttons (Remote)
2	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
2	I could reach the targets precisely with the input method.	Likert	5	Buttons (Remote)
2	I could focus on cycling while using the input method.	Likert	4	Buttons (Remote)
2	The input felt physically effortless.	Likert	4	Buttons (Remote)
2	The remote control did not interfere with my grip or steering.	Likert	4	Buttons (Remote)
2	I enjoyed using this remote control.	Likert	4	Buttons (Remote)
2	How safe did you feel while operating the device?	Likert	3	Direct Touch (Tablet)
2	How comfortable did you feel?	Likert	2	Direct Touch (Tablet)
2	I could focus on cycling while using the input method.	Likert	3	Direct Touch (Tablet)
2	The input felt physically effortless.	Likert	4	Direct Touch (Tablet)
2	I found it easy to understand how to use the input method.	Likert	4	Direct Touch (Tablet)
2	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	4	Direct Touch (Tablet)
2	I could reach the targets precisely with the input method.	Likert	3	Direct Touch (Tablet)
2	Which input method did you find the best overall?	Overall	Analog Stick (Remote)	Overall
2	Which input method did you find the easiest to use?	Overall	Buttons (Remote)	Overall
2	Which input method did you feel the safest using?	Overall	Analog Stick (Remote)	Overall
2	Which input method allowed you to select the targets most accurately?	Overall	Analog Stick (Remote)	Overall
2	Which input method allowed you to access the targets the quickest?	Overall	Analog Stick (Remote)	Overall
2	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Analog Stick (Remote)	Overall
2	Do you have any suggestions for improving the input methods?	Overall	/	Overall
3	How old are you?	General	30	General
3	What is your gender?	General	Male	General
3	How often do you ride a bicycle?	General	At least once a week	General
3	Which types of bicycles have you ridden so far?	General	Mountain bike	General
3	How often do you use a smartphone while riding a bicycle?	General	2	General
3	If you used a smartphone while riding a bicycle, what did you do with it?	General	Looked up information on the Internet or for driving directions;Use a smartphone for music control	General
3	In what environment did you use your smartphone while riding your bicycle?	General	Cycle lane / Cycle path;Dirt road;Red traffic light	General
3	How did you use a smartphone while riding your bicycle?	General	One-handed;Headphone remote control	General
3	How safe did you feel while operating the device?	Likert	3	Indirect Touch (Remote)
3	How comfortable did you feel?	Likert	2	Indirect Touch (Remote)
3	I found it easy to understand how to use the input method.	Likert	5	Indirect Touch (Remote)
3	I could reach the targets precisely with the input method.	Likert	2	Indirect Touch (Remote)
3	I could focus on cycling while using the input method.	Likert	2	Indirect Touch (Remote)
3	The input felt physically effortless.	Likert	4	Indirect Touch (Remote)
3	The remote control did not interfere with my grip or steering.	Likert	1	Indirect Touch (Remote)
3	I enjoyed using this remote control.	Likert	2	Indirect Touch (Remote)
3	How safe did you feel while operating the device?	Likert	4	Direct Touch (Tablet)
3	How comfortable did you feel?	Likert	5	Direct Touch (Tablet)
3	I could focus on cycling while using the input method.	Likert	2	Direct Touch (Tablet)
3	The input felt physically effortless.	Likert	5	Direct Touch (Tablet)
3	I found it easy to understand how to use the input method.	Likert	5	Direct Touch (Tablet)
3	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	4	Direct Touch (Tablet)
3	I could reach the targets precisely with the input method.	Likert	4	Direct Touch (Tablet)
3	How safe did you feel while operating the device?	Likert	4	Analog Stick (Remote)
3	How comfortable did you feel?	Likert	3	Analog Stick (Remote)
3	I found it easy to understand how to use the input method.	Likert	4	Analog Stick (Remote)
3	I could reach the targets precisely with the input method.	Likert	2	Analog Stick (Remote)
3	I could focus on cycling while using the input method.	Likert	3	Analog Stick (Remote)
3	The input felt physically effortless.	Likert	5	Analog Stick (Remote)
3	The remote control did not interfere with my grip or steering.	Likert	5	Analog Stick (Remote)
3	I enjoyed using this remote control.	Likert	3	Analog Stick (Remote)
3	How safe did you feel while operating the device?	Likert	5	Buttons (Remote)
3	How comfortable did you feel?	Likert	4	Buttons (Remote)
3	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
3	I could reach the targets precisely with the input method.	Likert	5	Buttons (Remote)
3	I could focus on cycling while using the input method.	Likert	4	Buttons (Remote)
3	The input felt physically effortless.	Likert	4	Buttons (Remote)
3	The remote control did not interfere with my grip or steering.	Likert	5	Buttons (Remote)
3	I enjoyed using this remote control.	Likert	4	Buttons (Remote)
3	Which input method did you find the best overall?	Overall	Direct Touch (Tablet)	Overall
3	Which input method did you find the easiest to use?	Overall	Direct Touch (Tablet)	Overall
3	Which input method did you feel the safest using?	Overall	Buttons (Remote)	Overall
3	Which input method allowed you to select the targets most accurately?	Overall	Buttons (Remote)	Overall
3	Which input method allowed you to access the targets the quickest?	Overall	Direct Touch (Tablet)	Overall
3	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Direct Touch (Tablet)	Overall
3	Do you have any suggestions for improving the input methods?	Overall	Speech recognition?	Overall
4	How old are you?	General	44	General
4	What is your gender?	General	Male	General
4	How often do you ride a bicycle?	General	At least once a month	General
4	Which types of bicycles have you ridden so far?	General	Mountain bike	General
4	How often do you use a smartphone while riding a bicycle?	General	2	General
4	If you used a smartphone while riding a bicycle, what did you do with it?	General	Use a smartphone for music control	General
4	In what environment did you use your smartphone while riding your bicycle?	General	Country lane;Dirt road	General
4	How did you use a smartphone while riding your bicycle?	General	One-handed	General
4	How safe did you feel while operating the device?	Likert	5	Direct Touch (Tablet)
4	How comfortable did you feel?	Likert	5	Direct Touch (Tablet)
4	I could focus on cycling while using the input method.	Likert	4	Direct Touch (Tablet)
4	The input felt physically effortless.	Likert	5	Direct Touch (Tablet)
4	I found it easy to understand how to use the input method.	Likert	5	Direct Touch (Tablet)
4	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	2	Direct Touch (Tablet)
4	I could reach the targets precisely with the input method.	Likert	5	Direct Touch (Tablet)
4	How safe did you feel while operating the device?	Likert	3	Buttons (Remote)
4	How comfortable did you feel?	Likert	2	Buttons (Remote)
4	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
4	I could reach the targets precisely with the input method.	Likert	4	Buttons (Remote)
4	I could focus on cycling while using the input method.	Likert	2	Buttons (Remote)
4	The input felt physically effortless.	Likert	3	Buttons (Remote)
4	The remote control did not interfere with my grip or steering.	Likert	1	Buttons (Remote)
4	I enjoyed using this remote control.	Likert	2	Buttons (Remote)
4	How safe did you feel while operating the device?	Likert	4	Indirect Touch (Remote)
4	How comfortable did you feel?	Likert	3	Indirect Touch (Remote)
4	I found it easy to understand how to use the input method.	Likert	5	Indirect Touch (Remote)
4	I could reach the targets precisely with the input method.	Likert	3	Indirect Touch (Remote)
4	I could focus on cycling while using the input method.	Likert	3	Indirect Touch (Remote)
4	The input felt physically effortless.	Likert	4	Indirect Touch (Remote)
4	The remote control did not interfere with my grip or steering.	Likert	1	Indirect Touch (Remote)
4	I enjoyed using this remote control.	Likert	3	Indirect Touch (Remote)
4	How safe did you feel while operating the device?	Likert	5	Analog Stick (Remote)
4	How comfortable did you feel?	Likert	4	Analog Stick (Remote)
4	I found it easy to understand how to use the input method.	Likert	5	Analog Stick (Remote)
4	I could reach the targets precisely with the input method.	Likert	4	Analog Stick (Remote)
4	I could focus on cycling while using the input method.	Likert	3	Analog Stick (Remote)
4	The input felt physically effortless.	Likert	4	Analog Stick (Remote)
4	The remote control did not interfere with my grip or steering.	Likert	1	Analog Stick (Remote)
4	I enjoyed using this remote control.	Likert	3	Analog Stick (Remote)
4	Which input method did you find the best overall?	Overall	Direct Touch (Tablet)	Overall
4	Which input method did you find the easiest to use?	Overall	Direct Touch (Tablet)	Overall
4	Which input method did you feel the safest using?	Overall	Direct Touch (Tablet)	Overall
4	Which input method allowed you to select the targets most accurately?	Overall	Direct Touch (Tablet)	Overall
4	Which input method allowed you to access the targets the quickest?	Overall	Direct Touch (Tablet)	Overall
4	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Direct Touch (Tablet)	Overall
4	Do you have any suggestions for improving the input methods?	Overall	Nothing to improve. Very interesting Test with different types of input methods 	Overall
5	How old are you?	General	32	General
5	What is your gender?	General	Male	General
5	How often do you ride a bicycle?	General	At least once a week	General
5	Which types of bicycles have you ridden so far?	General	City/Trekking bike;Mountain bike	General
5	How often do you use a smartphone while riding a bicycle?	General	2	General
5	If you used a smartphone while riding a bicycle, what did you do with it?	General	Looked up information on the Internet or for driving directions	General
5	In what environment did you use your smartphone while riding your bicycle?	General	Main road;Side road;Country lane;Dirt road	General
5	How did you use a smartphone while riding your bicycle?	General	One-handed	General
5	How safe did you feel while operating the device?	Likert	5	Buttons (Remote)
5	How comfortable did you feel?	Likert	4	Buttons (Remote)
5	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
5	I could reach the targets precisely with the input method.	Likert	5	Buttons (Remote)
5	I could focus on cycling while using the input method.	Likert	4	Buttons (Remote)
5	The input felt physically effortless.	Likert	5	Buttons (Remote)
5	The remote control did not interfere with my grip or steering.	Likert	4	Buttons (Remote)
5	I enjoyed using this remote control.	Likert	4	Buttons (Remote)
5	How safe did you feel while operating the device?	Likert	4	Analog Stick (Remote)
5	How comfortable did you feel?	Likert	3	Analog Stick (Remote)
5	I found it easy to understand how to use the input method.	Likert	3	Analog Stick (Remote)
5	I could reach the targets precisely with the input method.	Likert	3	Analog Stick (Remote)
5	I could focus on cycling while using the input method.	Likert	3	Analog Stick (Remote)
5	The input felt physically effortless.	Likert	2	Analog Stick (Remote)
5	The remote control did not interfere with my grip or steering.	Likert	3	Analog Stick (Remote)
5	I enjoyed using this remote control.	Likert	3	Analog Stick (Remote)
5	How safe did you feel while operating the device?	Likert	4	Direct Touch (Tablet)
5	How comfortable did you feel?	Likert	4	Direct Touch (Tablet)
5	I could focus on cycling while using the input method.	Likert	2	Direct Touch (Tablet)
5	The input felt physically effortless.	Likert	4	Direct Touch (Tablet)
5	I found it easy to understand how to use the input method.	Likert	4	Direct Touch (Tablet)
5	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	4	Direct Touch (Tablet)
5	I could reach the targets precisely with the input method.	Likert	4	Direct Touch (Tablet)
5	How safe did you feel while operating the device?	Likert	3	Indirect Touch (Remote)
5	How comfortable did you feel?	Likert	1	Indirect Touch (Remote)
5	I found it easy to understand how to use the input method.	Likert	3	Indirect Touch (Remote)
5	I could reach the targets precisely with the input method.	Likert	2	Indirect Touch (Remote)
5	I could focus on cycling while using the input method.	Likert	2	Indirect Touch (Remote)
5	The input felt physically effortless.	Likert	2	Indirect Touch (Remote)
5	The remote control did not interfere with my grip or steering.	Likert	3	Indirect Touch (Remote)
5	I enjoyed using this remote control.	Likert	1	Indirect Touch (Remote)
5	Which input method did you find the best overall?	Overall	Buttons (Remote)	Overall
5	Which input method did you find the easiest to use?	Overall	Direct Touch (Tablet)	Overall
5	Which input method did you feel the safest using?	Overall	Buttons (Remote)	Overall
5	Which input method allowed you to select the targets most accurately?	Overall	Direct Touch (Tablet)	Overall
5	Which input method allowed you to access the targets the quickest?	Overall	Direct Touch (Tablet)	Overall
5	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Direct Touch (Tablet)	Overall
5	Do you have any suggestions for improving the input methods?	Overall		Overall
7	How old are you?	General	30	General
7	What is your gender?	General	Male	General
7	How often do you ride a bicycle?	General	At least once a year	General
7	Which types of bicycles have you ridden so far?	General	Road/Cyclocross/Gravel bike	General
7	How often do you use a smartphone while riding a bicycle?	General	1	General
7	If you used a smartphone while riding a bicycle, what did you do with it?	General	Looked up information on the Internet or for driving directions	General
7	In what environment did you use your smartphone while riding your bicycle?	General	Side road	General
7	How did you use a smartphone while riding your bicycle?	General	One-handed	General
7	How safe did you feel while operating the device?	Likert	4	Indirect Touch (Remote)
7	How comfortable did you feel?	Likert	2	Indirect Touch (Remote)
7	I found it easy to understand how to use the input method.	Likert	4	Indirect Touch (Remote)
7	I could reach the targets precisely with the input method.	Likert	3	Indirect Touch (Remote)
7	I could focus on cycling while using the input method.	Likert	4	Indirect Touch (Remote)
7	The input felt physically effortless.	Likert	4	Indirect Touch (Remote)
7	The remote control did not interfere with my grip or steering.	Likert	4	Indirect Touch (Remote)
7	I enjoyed using this remote control.	Likert	4	Indirect Touch (Remote)
7	How safe did you feel while operating the device?	Likert	4	Direct Touch (Tablet)
7	How comfortable did you feel?	Likert	4	Direct Touch (Tablet)
7	I could focus on cycling while using the input method.	Likert	3	Direct Touch (Tablet)
7	The input felt physically effortless.	Likert	4	Direct Touch (Tablet)
7	I found it easy to understand how to use the input method.	Likert	4	Direct Touch (Tablet)
7	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	5	Direct Touch (Tablet)
7	I could reach the targets precisely with the input method.	Likert	5	Direct Touch (Tablet)
7	How safe did you feel while operating the device?	Likert	5	Buttons (Remote)
7	How comfortable did you feel?	Likert	5	Buttons (Remote)
7	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
7	I could reach the targets precisely with the input method.	Likert	5	Buttons (Remote)
7	I could focus on cycling while using the input method.	Likert	5	Buttons (Remote)
7	The input felt physically effortless.	Likert	5	Buttons (Remote)
7	The remote control did not interfere with my grip or steering.	Likert	5	Buttons (Remote)
7	I enjoyed using this remote control.	Likert	5	Buttons (Remote)
7	How safe did you feel while operating the device?	Likert	4	Analog Stick (Remote)
7	How comfortable did you feel?	Likert	4	Analog Stick (Remote)
7	I found it easy to understand how to use the input method.	Likert	4	Analog Stick (Remote)
7	I could reach the targets precisely with the input method.	Likert	3	Analog Stick (Remote)
7	I could focus on cycling while using the input method.	Likert	5	Analog Stick (Remote)
7	The input felt physically effortless.	Likert	4	Analog Stick (Remote)
7	The remote control did not interfere with my grip or steering.	Likert	4	Analog Stick (Remote)
7	I enjoyed using this remote control.	Likert	4	Analog Stick (Remote)
7	Which input method did you find the best overall?	Overall	Analog Stick (Remote)	Overall
7	Which input method did you find the easiest to use?	Overall	Buttons (Remote)	Overall
7	Which input method did you feel the safest using?	Overall	Buttons (Remote)	Overall
7	Which input method allowed you to select the targets most accurately?	Overall	Analog Stick (Remote)	Overall
7	Which input method allowed you to access the targets the quickest?	Overall	Indirect Touch (Remote)	Overall
7	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Direct Touch (Tablet)	Overall
7	Do you have any suggestions for improving the input methods?	Overall		Overall
6	How old are you?	General	34	General
6	What is your gender?	General	Male	General
6	How often do you ride a bicycle?	General	At least once a week	General
6	Which types of bicycles have you ridden so far?	General	City/Trekking bike	General
6	How often do you use a smartphone while riding a bicycle?	General	2	General
6	If you used a smartphone while riding a bicycle, what did you do with it?	General	Looked up information on the Internet or for driving directions;Use a smartphone to respond a call;Use a smartphone to make a call	General
6	In what environment did you use your smartphone while riding your bicycle?	General	Side road;Cycle lane / Cycle path	General
6	How did you use a smartphone while riding your bicycle?	General	One-handed	General
6	How safe did you feel while operating the device?	Likert	3	Analog Stick (Remote)
6	How comfortable did you feel?	Likert	4	Analog Stick (Remote)
6	I found it easy to understand how to use the input method.	Likert	4	Analog Stick (Remote)
6	I could reach the targets precisely with the input method.	Likert	4	Analog Stick (Remote)
6	I could focus on cycling while using the input method.	Likert	3	Analog Stick (Remote)
6	The input felt physically effortless.	Likert	3	Analog Stick (Remote)
6	The remote control did not interfere with my grip or steering.	Likert	2	Analog Stick (Remote)
6	I enjoyed using this remote control.	Likert	4	Analog Stick (Remote)
6	How safe did you feel while operating the device?	Likert	3	Indirect Touch (Remote)
6	How comfortable did you feel?	Likert	2	Indirect Touch (Remote)
6	I found it easy to understand how to use the input method.	Likert	2	Indirect Touch (Remote)
6	I could reach the targets precisely with the input method.	Likert	3	Indirect Touch (Remote)
6	I could focus on cycling while using the input method.	Likert	3	Indirect Touch (Remote)
6	The input felt physically effortless.	Likert	4	Indirect Touch (Remote)
6	The remote control did not interfere with my grip or steering.	Likert	3	Indirect Touch (Remote)
6	I enjoyed using this remote control.	Likert	2	Indirect Touch (Remote)
6	How safe did you feel while operating the device?	Likert	5	Buttons (Remote)
6	How comfortable did you feel?	Likert	5	Buttons (Remote)
6	I found it easy to understand how to use the input method.	Likert	4	Buttons (Remote)
6	I could reach the targets precisely with the input method.	Likert	4	Buttons (Remote)
6	I could focus on cycling while using the input method.	Likert	4	Buttons (Remote)
6	The input felt physically effortless.	Likert	2	Buttons (Remote)
6	The remote control did not interfere with my grip or steering.	Likert	2	Buttons (Remote)
6	I enjoyed using this remote control.	Likert	5	Buttons (Remote)
6	How safe did you feel while operating the device?	Likert	3	Direct Touch (Tablet)
6	How comfortable did you feel?	Likert	3	Direct Touch (Tablet)
6	I could focus on cycling while using the input method.	Likert	3	Direct Touch (Tablet)
6	The input felt physically effortless.	Likert	4	Direct Touch (Tablet)
6	I found it easy to understand how to use the input method.	Likert	4	Direct Touch (Tablet)
6	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	4	Direct Touch (Tablet)
6	I could reach the targets precisely with the input method.	Likert	3	Direct Touch (Tablet)
6	Which input method did you find the best overall?	Overall	Buttons (Remote)	Overall
6	Which input method did you find the easiest to use?	Overall	Buttons (Remote)	Overall
6	Which input method did you feel the safest using?	Overall	Buttons (Remote)	Overall
6	Which input method allowed you to select the targets most accurately?	Overall	Buttons (Remote)	Overall
6	Which input method allowed you to access the targets the quickest?	Overall	Analog Stick (Remote)	Overall
6	Which input method would you prefer to use if you had to use it regularly on a bike?	Overall	Buttons (Remote)	Overall
6	Do you have any suggestions for improving the input methods?	Overall	Guter Test. Nichts zu beanstanden.	Overall
8	How old are you?	General	36	General
8	What is your gender?	General	Male	General
8	How often do you ride a bicycle?	General	(Almost) Every day	General
8	Which types of bicycles have you ridden so far?	General	Mountain bike;Road/Cyclocross/Gravel bike	General
8	How often do you use a smartphone while riding a bicycle?	General	1	General
8	If you used a smartphone while riding a bicycle, what did you do with it?	General	Looked up information on the Internet or for driving directions	General
8	In what environment did you use your smartphone while riding your bicycle?	General	Main road;Side road;Cycle lane / Cycle path;Country lane	General
8	How did you use a smartphone while riding your bicycle?	General	One-handed	General
8	How safe did you feel while operating the device?	Likert	2	Direct Touch (Tablet)
8	How comfortable did you feel?	Likert	2	Direct Touch (Tablet)
8	I could focus on cycling while using the input method.	Likert	2	Direct Touch (Tablet)
8	The input felt physically effortless.	Likert	3	Direct Touch (Tablet)
8	I found it easy to understand how to use the input method.	Likert	2	Direct Touch (Tablet)
8	Did you feel that using touch input required you to look away from the road/environment too much?	Likert	4	Direct Touch (Tablet)
8	I could reach the targets precisely with the input method.	Likert	2	Direct Touch (Tablet)
8	How safe did you feel while operating the device?	Likert	4	Analog Stick (Remote)
8	How comfortable did you feel?	Likert	4	Analog Stick (Remote)
8	I found it easy to understand how to use the input method.	Likert	5	Analog Stick (Remote)
8	I could reach the targets precisely with the input method.	Likert	3	Analog Stick (Remote)
8	I could focus on cycling while using the input method.	Likert	4	Analog Stick (Remote)
8	The input felt physically effortless.	Likert	4	Analog Stick (Remote)
8	The remote control did not interfere with my grip or steering.	Likert	4	Analog Stick (Remote)
8	I enjoyed using this remote control.	Likert	4	Analog Stick (Remote)
8	How safe did you feel while operating the device?	Likert	4	Buttons (Remote)
8	How comfortable did you feel?	Likert	4	Buttons (Remote)
8	I found it easy to understand how to use the input method.	Likert	5	Buttons (Remote)
8	I could reach the targets precisely with the input method.	Likert	5	Buttons (Remote)
8	I could focus on cycling while using the input method.	Likert	4	Buttons (Remote)
8	The input felt physically effortless.	Likert	5	Buttons (Remote)
8	The remote control did not interfere with my grip or steering.	Likert	4	Buttons (Remote)
8	I enjoyed using this remote control.	Likert	5	Buttons (Remote)
8	How safe did you feel while operating the device?	Likert	3	Indirect Touch (Remote)
8	How comfortable did you feel?	Likert	3	Indirect Touch (Remote)
8	I found it easy to understand how to use the input method.	Likert	4	Indirect Touch (Remote)
8	I could reach the targets precisely with the input method.	Likert	2	Indirect Touch (Remote)
8	I could focus on cycling while using the input method.	Likert	2	Indirect Touch (Remote)
8	The input felt physically effortless.	Likert	4	Indirect Touch (Remote)
